Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b3655	319	1404	302	1470	61	671	40	451	25	310	26	123	host	yicH
gene-b1310	0	39	5	110	0	202	0	118	1	85	0	41	host	ycjN
gene-b1151	0	34	2	75	1	91	4	62	1	44	1	16	host	beeE
gene-b3439	111	421	110	655	70	313	28	185	9	121	15	78	host	yhhW
gene-b2964	52	431	79	561	41	327	19	233	35	150	18	68	host	nupG
gene-T4p066	0	0	283	33481	3831	39333	140	8049	548	8680	27	4814	phage	55.1
gene-b3221	42	155	61	194	26	131	7	92	6	65	4	21	host	nanQ
gene-b2207	5	46	9	60	1	43	2	35	0	15	1	8	host	napD
gene-b3126	8	51	16	146	8	121	7	109	0	82	1	17	host	garL
gene-b3380	7	84	18	289	8	358	2	261	6	136	1	70	host	yhfW
gene-b1796	4	16	4	26	2	33	1	22	2	14	0	8	host	yoaG
gene-b4539	30	263	90	262	39	59	8	27	5	14	3	8	host	yoeB
gene-b1110	16	205	23	229	19	138	8	68	8	53	7	37	host	ycfJ
gene-b3505	220	1969	251	1785	99	444	32	253	29	191	20	68	host	insH11
gene-b0527	12	162	36	247	14	153	6	105	3	74	2	31	host	ybcI
gene-b1381	141	779	137	826	42	338	28	257	22	187	15	71	host	ydbH
gene-b0759	315	1331	340	1536	151	344	59	163	42	117	34	54	host	galE
gene-b0506	518	1073	475	1018	205	362	66	180	36	96	35	57	host	allR
gene-b2299	373	2147	283	1907	94	269	49	137	34	89	24	41	host	yfcD
gene-b3521	37	224	22	283	7	237	4	194	4	143	6	55	host	rcdB
gene-b4139	173	966	208	1474	103	1037	33	243	57	215	27	105	host	aspA
gene-b3686	35	89	46	180	20	181	12	99	6	76	4	23	host	ibpB
gene-b4212	39	88	29	121	11	111	5	99	5	71	3	25	host	ytfH
gene-b4039	211	741	171	651	67	257	40	167	23	96	17	38	host	ubiC
gene-b0849	300	107	15	129	7	72	2	30	1	22	0	11	host	grxA
gene-b3747	246	784	347	1188	147	949	75	548	42	381	34	121	host	kup
gene-b0498	12	14	16	51	8	81	1	49	4	25	2	18	host	ybbC
gene-T4p143	1	0	10	1868	4	3814	44	23086	2352	71603	704	62965	phage	53
gene-b1250	74	550	50	443	21	214	5	110	11	79	5	27	host	kch
gene-b3622	271	1352	144	1196	49	380	4	171	23	128	1	86	host	waaL
gene-b0119	265	412	254	553	157	180	86	83	30	49	32	29	host	yacL
gene-b1586	29	233	14	238	8	93	2	39	1	30	3	15	host	ynfD
gene-b3279	485	1588	520	1869	228	597	81	239	61	171	47	88	host	yrdA
gene-b0418	86	1446	299	1205	146	318	52	142	37	122	29	42	host	pgpA
gene-b3594	43	85	35	245	23	206	6	115	8	88	7	57	host	yibA
gene-b1423	25	169	25	241	12	246	9	166	7	129	4	37	host	ydcJ
gene-b1335	27	257	38	170	11	106	6	68	4	44	4	20	host	ogt
gene-b1221	205	1649	238	1734	99	301	43	136	27	99	18	43	host	narL
gene-b4772	6	29	17	69	5	50	1	39	2	24	0	7	host	ymiD
gene-b2351	556	2263	298	1802	74	244	12	126	30	82	12	69	host	yfdH
gene-b0653	416	1406	766	2570	339	499	81	238	49	186	24	71	host	gltK
gene-b0110	153	469	187	508	43	181	30	104	9	70	14	25	host	ampD
gene-b0762	197	1270	186	985	86	683	22	205	20	79	9	66	host	acrZ
gene-b3369	5	25	20	105	11	93	0	55	2	36	0	12	host	yhfL
gene-b3602	249	1433	190	1426	92	319	39	127	19	67	15	35	host	yibL
gene-b2957	64	159	108	261	45	246	28	150	13	120	11	47	host	ansB
gene-b1387	10	86	8	260	5	326	5	227	1	181	1	78	host	paaZ
gene-b1914	496	3368	620	1618	159	225	47	107	39	80	34	35	host	uvrY
gene-b0163	223	854	163	735	47	169	13	93	13	55	8	26	host	yaeH
gene-b1426	18	74	18	108	14	45	1	21	6	16	2	8	host	ydcH
gene-b0704	7	44	4	92	0	103	0	70	2	41	0	26	host	ybfC
gene-b4218	127	1222	310	1616	102	455	52	274	41	168	18	70	host	paeA
gene-b2902	357	348	812	461	438	276	119	163	32	120	22	50	host	ygfF
gene-b1772	10	39	11	98	4	96	3	73	2	46	0	23	host	ydjH
gene-b0037	47	400	57	565	34	390	6	259	6	139	3	51	host	caiC
gene-b3324	10	76	23	236	11	221	1	139	3	103	1	53	host	gspC
gene-b1394	8	27	8	78	5	95	2	71	1	69	0	21	host	paaG
gene-b2967	285	199	58	277	32	215	13	42	16	25	8	12	host	pheV
gene-b1728	6	65	21	134	5	98	6	52	1	51	0	26	host	ydjM
gene-b0699	24	167	23	262	17	112	6	82	10	62	8	29	host	ybfA
gene-T4p127	0	0	173	22711	4610	80207	129	7689	264	4900	31	11109	phage	e.4
gene-b2456	1	9	2	33	0	53	0	49	0	15	1	6	host	eutN
gene-b2078	48	195	39	218	18	160	8	133	2	75	3	31	host	baeS
gene-b2462	2	9	12	40	2	47	1	41	0	37	0	11	host	eutS
gene-b3438	148	1592	265	1284	80	671	52	347	22	213	23	76	host	gntR
gene-b0271	34	185	39	382	19	314	13	232	4	139	5	62	host	yagH
gene-b4773	11	29	3	24	1	28	1	20	1	7	2	6	host	ynaN
gene-b2103	46	223	76	319	45	187	17	128	19	77	8	28	host	thiD
gene-b2452	5	109	11	243	4	342	3	217	3	120	2	24	host	eutH
gene-b1736	30	67	31	114	9	86	3	59	4	25	4	13	host	chbA
gene-b2876	4	56	13	162	5	142	2	97	4	63	0	25	host	yqeC
gene-b1581	8	70	4	133	1	158	4	137	3	67	0	20	host	rspA
